"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"LSTM - Attn_AbsPE","test","ent",-0.0360829333333309,0.0368903078207724,79.1606656848677,-0.97811418404628,0.957304921590099,-0.147693298113005,0.0755274314463431
"LSTM - Attn_RoPE","test","ent",0.00151498333330924,0.0368903078207724,79.1606656854178,0.0410672456480878,0.999999999559643,-0.110095381446348,0.113125348112966
"LSTM - Attn_AbsPE_H80","test","ent",0.0116210333333078,0.0368903078207724,79.1606656855514,0.315015894954504,0.999916118415453,-0.0999893314463499,0.123231398112965
"LSTM - Attn_RoPE_H80","test","ent",-0.00157126666666594,0.0368903078207724,79.1606657044348,-0.0425929399749053,0.999999999451952,-0.113181631445633,0.110039098112301
"Attn_AbsPE - Attn_RoPE","test","ent",0.0375979166666402,0.0368903078207724,79.1606656848783,1.01918142969437,0.948116090574784,-0.0740124481130371,0.149208281446317
"Attn_AbsPE - Attn_AbsPE_H80","test","ent",0.0477039666666387,0.0368903078207724,79.1606656852143,1.29313007900078,0.853113191017516,-0.0639063981130255,0.159314331446303
"Attn_AbsPE - Attn_RoPE_H80","test","ent",0.034511666666665,0.0368903078207724,79.160665703003,0.935521244071375,0.96557269254689,-0.0770986981123494,0.146122031445679
"Attn_RoPE - Attn_AbsPE_H80","test","ent",0.0101060499999985,0.0368903078207724,79.1606656854586,0.273948649306416,0.99996311119896,-0.101504314779657,0.121716414779654
"Attn_RoPE - Attn_RoPE_H80","test","ent",-0.00308624999997517,0.0368903078207724,79.1606657036185,-0.0836601856229931,0.999999968641485,-0.11469661477897,0.108524114779019
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","ent",-0.0131922999999737,0.0368903078207724,79.1606657032991,-0.35760883492941,0.999823962905915,-0.12480266477898,0.0984180647790328
